Reviewer Name,Rating,Review,Date,Review_english,Sentiment,Nouns,staff_filtered,staff_sentiment,cuisine_filtered,cuisine_sentiment,cleanliness_filtered,cleanliness_sentiment
Nadia Carvalho Carvalho,,"le café était sale, la caissière m'a servi deux fois du café froid, facturé et ne l'a pas rendu. C'était le pire service que j'ai jamais eu. pas de superviseur dans le magasin, équipe perdue dans un service tranquille.",il y a un an,the coffee was dirty the cashier served me cold coffee twice charged and did not return it it was the worst service I have ever had no supervisor in the store team lost in quiet service,Negative,coffee cashier coffee service supervisor store team service,cashier service service,Neutral,coffee coffee,Neutral,dirty,Negative
Pavel Gulyaev,,Cockroaches on the shelves!!! Disgutsing. Stayed in the line and was looking at the doughnut to order and mentioned two cockroaches next to it. That’s unsafe and this whole place must be closed until it cleaned up,il y a 4 mois,cockroaches on the shelves disgusting stayed in the line and was looking at the doughnut to order and mentioned two cockroaches next to it that safe and this whole place must be closed until it cleaned up,Negative,cockroaches shelves line doughnut order cockroaches place,,Neutral,,Neutral,cockroaches cockroaches,Neutral
isabelle boucher,5,"Très bien pour le petit dej et pour un repas rapide ... Pas d'attente pour avoir son plat bien chaud !
Suffisamment de choix pour satisfaire tout le monde",il y a 5 mois,"very good for breakfast and for a quick meal, no waiting to get your dish hot 
enough choice to satisfy everyone",Positive,breakfast meal choice everyone,,Neutral,breakfast,Neutral,,Neutral
Isabelle Marion,,Je mets une seule étoile pour le service en anglais uniquement et à l’intention du propriétaire: ne me demandez pas poliment de venir remplir votre formulaire parce que vous avez les rétroactions de vos clients à cœur. Comme ça fait des…,il y a 7 mois,"I put only one star for the service in English only and for the owner's benefit, don't politely ask me to come and fill out your form because you care about your customers' feedback like that makes",Negative,star service owner benefit form customers feedback,service,Neutral,,Neutral,,Neutral
Ahmed Alsharief,,"Tables are messy the staff refused to clean it .This happened 11:20 am I personally asked kamal repeatedly and politely he frankly refused (said no)
I am here every day averge spend around 7-8 $",il y a 10 mois,"tables are mess the staff refused to clean it this happened 1120 am i personally asked canal repeatedly and politely he frankly refused said no
i am here every day average spend around 78",Negative,tables staff i day,staff,Neutral,,Neutral,clean,Positive
Samuel Parent,,"Pain sec, service unilingue anglophone. Café loin des standard des autre Tim.  Toute ma commande à fini au vidange. 20$ de gaspiller. Vous venez de perdre un autre
client.",il y a 6 mois,"dry bread unilingual English-speaking service coffee far from the standards of the other tim all my order ended up emptying 20 to waste you have just lost another
customer",Negative,bread service coffee standards tim order customer,service,Neutral,coffee,Neutral,,Neutral
Oussama Bédh'n,,"Le service de préparation des sandwish est plus respecter les condition de hygiéne
Car il m'as préparé un sandwish la table elle meme pas elle n'est pas propre",il y a 5 mois,"the sandwich preparation service no longer respects hygienic conditions
because he prepared a sandwich for me, the table itself is not clean",Negative,preparation service conditions sandwich table,service,Neutral,sandwich sandwich,Neutral,hygienic clean,Positive
Rita Loy,5,This was the first time I have ever been to any Tim Hortons. I really enjoyed the the shell pasta chicken soup and the Habanero chicken salad.,il y a un an,this was the first time i have ever been to any tim portions i really enjoyed the the shell past chicken soup and the habanero chicken salad,Positive,time i portions shell chicken soup habanero chicken salad,,Neutral,portions,Neutral,,Neutral
Christian Alejandro Muñoz Robles,,Lazy workers it’s 10:40 and they don’t want to make food. You should improve your hiring process.,il y a 3 mois,lazy workers its 1040 and they dont want to make food you should improve your hiring process,Negative,workers food hiring process,workers,Neutral,food,Neutral,,Neutral
Mickael Liger,5,Quand nous somme au canada Tim Hortons et notre deuxième maison ...le bonheur à l état pure..leurs cappuccino glacé au caramel une tuerie d ailleurs il devrais être remboursés par la cesu tellement il apport de plaisir 😀…,il y a 5 ans,when we are in canada tim portions and our second home pure happiness ice cappuccino with calomel a killer in fact it should be reimbursed by the ces it brings so much pleasure,Positive,tim portions home pure happiness ice cappuccino calomel killer fact ces pleasure,,Neutral,portions cappuccino,Neutral,,Neutral
Alejandro Gálvez Campos,,"The time of open is not respected, my brother and wanted to come in at 5:30 am. Outside temperature was -4 C. And the worker inside the store act like hi didn’t know there was someone outside. Very disgusting.",il y a 7 mois,the time of open is not respected my brother and wanted to come in at 530 am outside temperature was 4 c and the worker inside the store act like hi didn know there was someone outside very disgusting,Negative,time brother temperature c worker store act didn someone,,Neutral,,Neutral,,Neutral
Coralie Rolland,4,"They burned my wrap and refused to give me another one once, otherwise no issue",il y a 3 mois,they burned my wrap and refused to give me another one once otherwise no issue,Negative,wrap issue,,Neutral,,Neutral,,Neutral
Sid Khen,5,"A nice place, excellent service and to the mark. Always the correct order with no delay… wait time might vary depending on the order but it doesn’t take much long as the employees in the morning are fast paced!",il y a 8 mois,a nice place excellent service and to the mark always the correct order with no delay wait time might vary depending on the order but it doesn take much long as the employees in the morning are fast paced,Negative,place service mark order delay wait time order employees morning,service employees,Neutral,,Neutral,,Neutral
Mario Lacroix,3,"On aime tous les Tim Hortons, mais tous n' aiment pas autant leurs clients, le Cappuccino glacé commandé n' était pas plein.
Service courtois par-contre.",il y a 4 ans,"He all love Him Portions but not everyone loves their customers as much. The ice cappuccino ordered was not full
courteous service",Negative,Portions everyone customers ice cappuccino service,service,Neutral,Portions cappuccino,Neutral,,Neutral
Killian Tagand,2,Service uniquement en anglais. Serveuse qui se trompe dans la prise de la commande et propreté à revoir.,il y a 3 mois,service only in English witness who makes a mistake when taking the order and cleanliness to be reviewed,Negative,service witness mistake order cleanliness,service,Neutral,,Neutral,,Neutral
Morgane Richard,4,Bonne enseigne ! J'ai pris un givré chocolat plutôt bon. Service rapide.,il y a 11 mois,good brand I had a chocolate frosted pretty good fast service,Positive,brand chocolate fast service,service,Neutral,chocolate,Neutral,,Neutral
Melissa P,3,"Personnel qui pousse à vite faire son choix. Pas trop de temps à la découverte de la carte. Plutôt abordable.
Wrap poulet : fine tranche de poulet qui se perd dans le wrap.…",il y a 9 mois,"staff who push you to quickly make your choice, not too much time to discover the rather unfordable menu
chicken wrap thin slice of chicken that gets lost in the wrap",Negative,staff choice time menu chicken wrap slice chicken wrap,staff,Neutral,menu,Neutral,,Neutral
Gina L,4,They opened earlier than I expected thankfully. I loved it,il y a un an,they opened earlier than i expected thankful i loved it,Positive,i,,Neutral,,Neutral,,Neutral
Adam Adam,,Ne mérite même pas une étoile. Le service est super lourd. Au cœur du Montréal le staff ne parle pas français !!! Salut Québec ! . Le menu affiché rien avoir avec la réalité. Cet endroit est le meilleur exemple pour détruire la marque Tim Hortons. Simplement le désastre.,il y a un an,does not even deserve a star the service is super heavy in the heart of Montreal the staff does not speak French hi Quebec the menu displayed has nothing to do with reality this place is the best example to destroy the Him Portions brand simply disaster,Negative,star service heavy heart staff hi menu displayed nothing reality place example brand disaster,service staff,Neutral,menu Portions,Neutral,,Neutral
Hyejin Lee,,"Horrible customer service.. I asked if this drink has caffeine in it THREE times before I ordered and they said no. But when they gave me this drink they said it does have caffeine in it. If I did not ask them again, I was going to have a bad mental health issue. I also did not get any apology.",il y a 8 mois,horrible customer service i asked if this drink has caffein in it three times before i ordered and they said no but when they gave me this drink they said it does have caffein in it if i did not ask them again i was going to have a bad mental health issue i also did not get any apology,Negative,customer service i drink times i drink i i health issue i apology,service,Neutral,,Neutral,,Neutral
Hélèna Chabot,5,"J’ai spécifiquement demandé mon Tim glacée sans sucre juste pour découvrir qu’il y avait du sucre dans le Tim glacé. En plus, il y a avait trop de pain dans mon club à la Tim. Mais ce n’est pas tout, impossible de s’assoir dans ce restaurant, j’ai du attendre 3 minutes pour m’assoir. Très déçu!",il y a 11 mois,I specifically asked for my ice tim without sugar just to discover that there was sugar in the ice tim plus there was too much bread in my tim club but it's not all impossible to sit in this restaurant I had to wait 3 minutes for massage very disappointed,Negative,ice tim sugar sugar ice tim bread tim club restaurant minutes massage,,Neutral,,Neutral,,Neutral
Dan Ezual,4,"Rapide et correct. C'est une exception, je boycotte Tim car souvent ils ne veulent pas donner de factures au service à l'auto, ils tolèrent que des employés ne parlent pas un mot de français et ne répondent pas aux plaintes faites par courriel.",il y a un an,fast and correct this is an exception I boycott tim because they often do not want to give voices to the drive-thou they tolerate that employees do not speak a word of French and do not respond to complaints made by email,Negative,exception voices drive-thou employees word complaints email,employees,Neutral,,Neutral,,Neutral
HSM BD,4,Excellent service !!,il y a 4 semaines,excellent service,Positive,service,service,Neutral,,Neutral,,Neutral
del mai,5,Fast service friendly staff friendly and atmosphere busy place with seating area.,il y a 6 mois,fast service friendly staff friendly and atmosphere busy place with seating area,Positive,service staff place area,service staff,Neutral,,Neutral,,Neutral
Ayoub Nassifi,4,une expérience café agréable avec un service rapide et des saveurs robustes. Un choix solide pour une pause café rapide et satisfaisante.,il y a 7 mois,a pleasant coffee experience with fast service and robust favors a solid choice for a quick and satisfying coffee break,Positive,coffee experience service favors choice coffee break,service,Neutral,coffee coffee,Neutral,,Neutral
Maxence,5,"Service rapide et cordial. Sandwich excellent et bon rapport qualité prix. Parfait pour une petite collation ou un déjeuner.
Le café est très bon, et il faut essayer le beignet pomme cannelle absolument!",il y a un an,"fast and friendly service excellent sandwich and good value for money perfect for a small snack or lunch
the coffee is very good and you absolutely have to try the apple cinnamon dont",Positive,service excellent sandwich value money perfect snack lunch coffee apple cinnamon dont,service,Neutral,sandwich lunch coffee cinnamon,Neutral,,Neutral
REALISM,,Parle pas un mot de français et a moitié anglais c'était un désastre commandé,il y a 5 mois,don't speak a word of French and half English it was a disaster ordered,Negative,word half disaster,,Neutral,,Neutral,,Neutral
Jessica Cuierrier,,"Commande DoorDash ou Uber Eat ATTENTION.
Car le restaurant ne suive pas DUTOUT votre commande
Nous avions commandé…",il y a un an,"doordash order or user eat attention
because the restaurant does not follow your order at all
we had ordered",Negative,doordash order user eat attention restaurant order,,Neutral,,Neutral,,Neutral
Loreen Guerin,,"Très décues de ce fast-food ! Ce fast-food mérite zéro étoile ! Deuxième fois dans ce lieu, deuxième fois où il y a pas de potatoes et qu’on nous les encaisse !!! Puis, deuxième fois où le personnels ne parle pas français alors que nous…",il y a un an,very disappointed with this fastfood this fastfood deserves zero stars second time in this place second time where there are no potatoes and we cash them then second time where the staff does not speak French while we,Negative,fastfood fastfood stars time place time potatoes cash time staff,staff,Neutral,,Neutral,,Neutral
CC H,2,"The 2 girls there, hardly speak English and French. Far away from being pro for their simple job.
If the client do not stand correctly :)  in the middle before the counter they will get mad and stare at the client :) :)",il y a un an,"the 2 girls there hardly speak english and french far away from being pro for their simple job
if the client do not stand correctly   in the middle before the counter they will get mad and stare at the client",Negative,girls job client middle counter stare client,,Neutral,,Neutral,,Neutral
Jimmy Jim,4,"Nice and clean, but they too don't have danish maple pecane, and I am finding stupid having handicap doors (non usable) and an entrance with 3 steps...",il y a 9 mois,nice and clean but they too dont have danish male became and i am finding stupid having handicap doors non unable and an entrance with 3 steps,Negative,male handicap doors entrance steps,,Neutral,,Neutral,clean,Positive
Mark Cicekci,4,"I love Timmy's, but this particular location handles mobile orders quite badly and is usually not very clean. Half or the majority of the store is usually closed off for no good reason. Not like the nicer, bigger, and better locations you'd find in the more rural areas, outside of downtown.",il y a 2 ans,i love times but this particular location candles mobile orders quite badly and is usually not very clean half or the majority of the store is usually closed off for no good reason not like the nicer bigger and better locations you find in the more rural areas outside of downtown,Negative,i times location candles orders half majority store reason nicer locations areas downtown,,Neutral,,Neutral,clean,Positive
Fatima Brahima,4,"La cuisine est bonne , capichino et autre thé pas trop sucré.
Les serveurs sont gentils mais l'ambiance n'est pas trop ça j'ignore pourquoi",il y a 11 mois,"the food is good capichino and other tea not too sweet
the waters are nice but the atmosphere is not really that, I don't know why",Negative,food capichino tea waters atmosphere,,Neutral,food tea,Neutral,,Neutral
Rubén Fagua,,The casher always makes a bad face and there are not the products that they are showing on the screens.,il y a 6 mois,the cashier always makes a bad face and there are not the products that they are showing on the screens,Negative,cashier face products screens,cashier,Neutral,,Neutral,,Neutral
E T,5,10 SUR 10 POUR L'INSALUBRITÉ ET LES TI MOTONS,il y a 2 mois,10 out of 10 for unsanitary conditions and ti motions,Negative,conditions ti motions,,Neutral,,Neutral,,Neutral
Dr. Antony,3,"Had to move a passed out fentanyl addict from the front door so we could get in, but other than that the coffee was good.",il y a 10 mois,had to move a passed out fentanyl adduct from the front door so we could get in but other than that the coffee was good,Positive,adduct door coffee,,Neutral,coffee,Neutral,,Neutral
Camille Côté-Beaulieu,,J’ai dû rappeler 5 fois avant que ma commande soit faite. Le personnel n’est pas en mesure de me répondre et comprendre le français. Vraiment décevant je ne conseil ce Tim Horton à personne voulant un bon service.,il y a un an,I had to call back 5 times before my order was made the staff is not able to answer me and understand French really disappointing I do not recommend this Him Norton to anyone wanting good service,Negative,times order staff anyone service,staff service,Neutral,,Neutral,,Neutral
alonso dávila,,"This Tim Hortons is one of the worst in the city, every time staff is with a bad attitude, prepare the food with the least effort and even if you order online they will send you whatever they want not what you ordered.",il y a 11 mois,this tim portions is one of the worst in the city every time staff is with a bad attitude prepare the food with the least effort and even if you order online they will send you whatever they want not what you ordered,Negative,portions city time staff attitude food effort order,staff attitude,Neutral,portions food,Neutral,,Neutral
Hamouda Ab,,Ils parlent mal au client en plus ils ont fermé à 19:00 malgré c’était indiqué qu’il ferme à 23:00,il y a 6 mois,They speak badly to the customer plus they closed at 1900 despite it being indicated that it closes at 2300,Negative,customer,,Neutral,,Neutral,,Neutral
Antonio Cebrian,3,Nice coffee chain. Not the best coffee but good in price-quality. The best are the iced cappuccino,il y a 5 ans,nice coffee chain not the best coffee but good in pricequality the best are the ice cappuccino,Positive,coffee chain coffee pricequality ice cappuccino,,Neutral,coffee coffee cappuccino,Neutral,,Neutral
Miko,,They take everytime 20 min to prepare uber orders. Don't order there,il y a 8 mois,they take everytime 20 min to prepare user orders dont order there,Negative,min orders order,,Neutral,,Neutral,,Neutral
Franck Huberschwiller,5,"Toujours un lieu incontournable à toutes heures de la journée
Pour moi c'est en fin d'après-midi pour mon 4h00 ☕🥞…",il y a 4 ans,"always a must-visit place at all times of the day
for me it’s late afternoon for my 4:00 a.m.",Positive,place times day afternoon a.m,,Neutral,,Neutral,,Neutral
Romain Bédard-Roux,,"Les employés qui prennent les commandes ne parlent souvent pas du tout français et quand ils le parlent, c'est tellement rudimentaire qu'il est difficile d'être compris. Inacceptable d'être incapable d'être servi en français et ce, dans des nombreux Tim Hortons à Montréal.",il y a 2 ans,the employees who take orders often do not speak French at all and when they do it is so rudimentary that it is difficult to be understood. It is unacceptable to be unable to be served in French and this in many Him Portions in Montreal.,Negative,employees orders,employees,Neutral,Portions,Neutral,,Neutral
Dick Tump (theawesomedick),4,"Their donuts are so good ❤️ breakfast was also pretty good, but I would come back for the donuts",il y a 8 mois,their donets are so good  breakfast was also pretty good but i would come back for the donets,Positive,donets breakfast i donets,,Neutral,breakfast,Neutral,,Neutral
Gregory Langlois,,Lieu sale. Le personnel est aglutiné derrière le comptoir au lieu de nettoyer et ramasser les détritus.,il y a 2 ans,dirty place the staff is crowded behind the counter instead of cleaning and picking up trash,Negative,place staff counter cleaning trash,staff,Neutral,,Neutral,dirty cleaning,Negative
Adam Liu,5,"Nice food and service, just too crowded, but still good overall",il y a 8 mois,nice food and service just too crowded but still good overall,Positive,food service,service,Neutral,food,Neutral,,Neutral
Baptiste Huot,,"First time at Tim Hortons and last time too. We ordered something that wasn't ready right now so they gave us something else (cheaper of course), so I asked them to give us what we ordered. After 10 waiting minutes we finally had what we…",il y a 5 ans,first time at tim portions and last time too we ordered something that want ready right now so they gave us something else cheaper of course so i asked them to give us what we ordered after 10 waiting minutes we finally had what we,Negative,time portions time something something course minutes,,Neutral,portions,Neutral,,Neutral
Chris Brown,4,It's a Tims. What can I say more? The coffee went cold fast as it was warm when I received my order.,il y a 9 mois,its a time what can i say more the coffee went cold fast as it was warm when i received my order,Negative,time coffee fast i order,,Neutral,coffee,Neutral,,Neutral
Garry Guenette,4,Correct. Content d'avoir un Tim ouvert 24h. La fille semblait être seul alors c'était un peu long mais c normal quand il y a juste une personne pour servir les clients. Le café n'était pas très chaud mais c'était parfait c'est ce que je voulais.,il y a 5 ans,ok happy to have a tim open 24 hours the girl seemed to be alone so it was a bit long but that's normal when there is just one person to serve the customers the coffee was not very hot but it was perfect that's what I wanted,Positive,tim hours girl bit person customers coffee,,Neutral,coffee,Neutral,,Neutral
gbmglobal live,5,"When you can make my day right you are definitely the best large dark roast black with 1 espresso shot
Tim's the best better than the rest.",il y a un an,"when you can make my day right you are definitely the best large dark roast black with 1 express shot
time the best better than the rest",Positive,day dark roast express shot time rest,,Neutral,express,Neutral,,Neutral
Marie-Pier Giroux,4,I always loved this tim the staff is very polite but they need someone that clean the tables every minute or napkins on the tables because people always leave crums or coffee  so asked for more napkins  😊👌…,il y a un an,i always loved this tim the staff is very polite but they need someone that clean the tables every minute or napkins on the tables because people always leave drums or coffee  so asked for more napkins,Negative,i tim staff someone tables minute napkins tables people drums coffee napkins,staff,Neutral,coffee,Neutral,clean,Positive
Catherine Haché (Supercatou),3,"Quand je demande un thé, ce n'est pas un café que je veux, et l'inverse aussi est vrai. Les employés devraient s'assurer de l'exactitude de la commande.
Et la facture, pourquoi la froissent-ils et la jettent automatiquement? Parce…",il y a 5 ans,"when I ask for tea it's not coffee I want and the opposite is also true the employees should ensure the accuracy of the order
and the voice why they crumpled it and throw it away automatically because",Positive,tea opposite employees accuracy order voice,employees,Neutral,tea coffee,Neutral,,Neutral
